VC,PIR,Run,Avg_IP_Throughput_flits_cycle_IP,Global_Avg_Delay_cycles,Total_Energy_J
1,0.02,1,0.0386128,3810.01,9.68574e-05
1,0.02,2,0.0358307,3903.26,9.6068e-05
1,0.02,3,0.0372604,3702.55,9.72188e-05
1,0.02,4,0.0352674,3765.63,9.59802e-05
1,0.02,5,0.0374236,3964.12,9.69672e-05
1,0.02,6,0.0375334,4016.98,9.6667e-05
1,0.02,7,0.0381641,3956.83,9.70466e-05
1,0.02,8,0.0375625,3985.95,9.66632e-05
1,0.02,9,0.0372834,4090.2,9.67263e-05
1,0.02,10,0.0374822,3982.81,9.70608e-05
1,0.03,1,0.0371788,4468.25,9.63628e-05
1,0.03,2,0.0373967,4467.12,9.69251e-05
1,0.03,3,0.0387174,4452.29,9.72415e-05
1,0.03,4,0.0385516,4482.19,9.69973e-05
1,0.03,5,0.0376649,4380.83,9.65869e-05
1,0.03,6,0.0370994,4430.54,9.66862e-05
1,0.03,7,0.0370317,4359.34,9.6343e-05
1,0.03,8,0.0390998,4317.7,9.76063e-05
1,0.03,9,0.0352886,4437.54,9.58197e-05
1,0.03,10,0.0358351,4399.79,9.61941e-05
1,0.04,1,0.0386115,4666.5,9.72376e-05
1,0.04,2,0.0378038,4642.2,9.68205e-05
1,0.04,3,0.0371471,4644.79,9.66887e-05
1,0.04,4,0.036921,4650.82,9.65207e-05
1,0.04,5,0.0380547,4552.74,9.6533e-05
1,0.04,6,0.0370126,4632.67,9.64994e-05
1,0.04,7,0.0369371,4679.54,9.67806e-05
1,0.04,8,0.0383424,4556.56,9.71517e-05
1,0.04,9,0.0380551,4586.34,9.69938e-05
1,0.04,10,0.036543,4624.9,9.6046e-05
1,0.05,1,0.0364214,4829.88,9.62257e-05
1,0.05,2,0.0368863,4824.67,9.68025e-05
1,0.05,3,0.0381367,4861.96,9.71429e-05
1,0.05,4,0.0360859,4700.69,9.61585e-05
1,0.05,5,0.0381155,4744.17,9.70867e-05
1,0.05,6,0.0375773,4942.4,9.65483e-05
1,0.05,7,0.0375269,4918.87,9.67259e-05
1,0.05,8,0.0363511,4675.4,9.61249e-05
1,0.05,9,0.0369748,4747.91,9.64237e-05
1,0.05,10,0.037888,4768.44,9.6885e-05
1,0.06,1,0.0364605,5028.64,9.64258e-05
1,0.06,2,0.0367535,4895.36,9.633e-05
1,0.06,3,0.0366411,5001.88,9.64e-05
1,0.06,4,0.0377999,4781.27,9.68847e-05
1,0.06,5,0.0378837,4775.49,9.68535e-05
1,0.06,6,0.0362682,4982.76,9.64e-05
1,0.06,7,0.0372721,4883.64,9.66988e-05
1,0.06,8,0.0371997,4807.75,9.64349e-05
1,0.06,9,0.0378112,4926.9,9.68391e-05
1,0.06,10,0.0366918,5006.76,9.60885e-05
1,0.07,1,0.0360816,4975.06,9.59391e-05
1,0.07,2,0.0372734,5050.52,9.64532e-05
1,0.07,3,0.0366806,5016.32,9.65728e-05
1,0.07,4,0.0375768,4997.98,9.67836e-05
1,0.07,5,0.0379605,5054.47,9.71096e-05
1,0.07,6,0.0356749,5022.7,9.56862e-05
1,0.07,7,0.0376944,4955.95,9.68214e-05
1,0.07,8,0.0364379,5020.4,9.63414e-05
1,0.07,9,0.0373212,5037.63,9.71186e-05
1,0.07,10,0.0375508,5065.49,9.69715e-05
1,0.08,1,0.0372977,5076.54,9.62774e-05
1,0.08,2,0.03574,4995.8,9.58846e-05
1,0.08,3,0.0369119,5142,9.70196e-05
1,0.08,4,0.0379093,5016.97,9.69258e-05
1,0.08,5,0.0360109,5105.58,9.61942e-05
1,0.08,6,0.035957,5145.76,9.60674e-05
1,0.08,7,0.0371098,5090.79,9.66511e-05
1,0.08,8,0.0367943,5127.36,9.62895e-05
1,0.08,9,0.0360955,5182.03,9.61025e-05
1,0.08,10,0.0380881,4997.96,9.73001e-05
1,0.09,1,0.0385052,5170.84,9.72559e-05
1,0.09,2,0.0375794,5164.96,9.69226e-05
1,0.09,3,0.0365347,5104.51,9.64101e-05
1,0.09,4,0.0381693,5106.54,9.71322e-05
1,0.09,5,0.0371428,5195.86,9.64575e-05
1,0.09,6,0.0368854,5134.65,9.65506e-05
1,0.09,7,0.0370603,5191.12,9.66542e-05
1,0.09,8,0.0382365,5092.45,9.72162e-05
1,0.09,9,0.0372283,5108.37,9.68031e-05
1,0.09,10,0.0366888,5095.81,9.64162e-05
1,0.10,1,0.0373997,5146.12,9.64869e-05
1,0.10,2,0.0370126,5034.7,9.67427e-05
1,0.10,3,0.0378034,5196.7,9.69194e-05
1,0.10,4,0.0377001,5099.3,9.67884e-05
1,0.10,5,0.0369358,5207.62,9.64343e-05
1,0.10,6,0.0366432,5142.96,9.63917e-05
1,0.10,7,0.0375868,5142.28,9.68894e-05
1,0.10,8,0.0350043,5115.69,9.57567e-05
1,0.10,9,0.0376901,5256.79,9.67528e-05
1,0.10,10,0.0357665,5188.09,9.62368e-05
